---------------------------------------------------------------------------------------------------------------------
Benchmark                                                           Time             CPU   Iterations UserCounters...
VecDeque/BulkCopy/FixedSlice/100/100000/manual_time             10650 ns        10675 ns         1285 selected_ratio=1m
VecDeque/BulkCopy/FixedSlice/500/500/manual_time                  431 ns          456 ns        32808 selected_ratio=1
VecDeque/BulkCopy/FixedSlice/500/1000/manual_time                 551 ns          576 ns        25199 selected_ratio=0.5
VecDeque/BulkCopy/FixedSlice/500/10000/manual_time               1491 ns         1517 ns         9242 selected_ratio=0.05
VecDeque/BulkCopy/FixedSlice/500/100000/manual_time             10961 ns        10994 ns         1269 selected_ratio=5m
VecDeque/BulkCopy/FixedSlice/1000/1000/manual_time                855 ns          881 ns        16338 selected_ratio=1
VecDeque/BulkCopy/FixedSlice/1000/10000/manual_time              2077 ns         2106 ns         6651 selected_ratio=0.1
VecDeque/BulkCopy/FixedSlice/1000/100000/manual_time            11485 ns        11516 ns         1224 selected_ratio=0.01
BlockOrderBook/BulkCopy/FixedSlice/10/10/manual_time             21.3 ns         47.0 ns       659766 selected_ratio=1
BlockOrderBook/BulkCopy/FixedSlice/10/50/manual_time             32.5 ns         58.2 ns       426963 selected_ratio=0.2
BlockOrderBook/BulkCopy/FixedSlice/10/100/manual_time            27.5 ns         53.2 ns       511110 selected_ratio=0.1
BlockOrderBook/BulkCopy/FixedSlice/10/500/manual_time            50.5 ns         75.8 ns       272623 selected_ratio=0.02
BlockOrderBook/BulkCopy/FixedSlice/10/1000/manual_time           23.0 ns         48.3 ns       616061 selected_ratio=0.01
BlockOrderBook/BulkCopy/FixedSlice/10/10000/manual_time          38.3 ns         64.2 ns       363421 selected_ratio=1m
BlockOrderBook/BulkCopy/FixedSlice/10/100000/manual_time         66.8 ns         92.2 ns       219839 selected_ratio=100u
BlockOrderBook/BulkCopy/FixedSlice/50/50/manual_time             52.9 ns         78.2 ns       261202 selected_ratio=1
BlockOrderBook/BulkCopy/FixedSlice/50/100/manual_time            81.1 ns          106 ns       178773 selected_ratio=0.5
BlockOrderBook/BulkCopy/FixedSlice/50/500/manual_time            81.4 ns          106 ns       174039 selected_ratio=0.1
BlockOrderBook/BulkCopy/FixedSlice/50/1000/manual_time           78.6 ns          104 ns       179851 selected_ratio=0.05
BlockOrderBook/BulkCopy/FixedSlice/50/10000/manual_time          89.0 ns          114 ns       157380 selected_ratio=5m
BlockOrderBook/BulkCopy/FixedSlice/50/100000/manual_time         92.1 ns          117 ns       153008 selected_ratio=500u
BlockOrderBook/BulkCopy/FixedSlice/100/100/manual_time            109 ns          134 ns       131187 selected_ratio=1
BlockOrderBook/BulkCopy/FixedSlice/100/500/manual_time            120 ns          145 ns       118326 selected_ratio=0.2
BlockOrderBook/BulkCopy/FixedSlice/100/1000/manual_time           118 ns          143 ns       118193 selected_ratio=0.1
BlockOrderBook/BulkCopy/FixedSlice/100/10000/manual_time          128 ns          153 ns       109507 selected_ratio=0.01
BlockOrderBook/BulkCopy/FixedSlice/100/100000/manual_time         122 ns          147 ns       116593 selected_ratio=1m
BlockOrderBook/BulkCopy/FixedSlice/500/500/manual_time            459 ns          484 ns        30729 selected_ratio=1
BlockOrderBook/BulkCopy/FixedSlice/500/1000/manual_time           422 ns          447 ns        31946 selected_ratio=0.5
BlockOrderBook/BulkCopy/FixedSlice/500/10000/manual_time          442 ns          467 ns        31866 selected_ratio=0.05
BlockOrderBook/BulkCopy/FixedSlice/500/100000/manual_time         480 ns          506 ns        29856 selected_ratio=5m
BlockOrderBook/BulkCopy/FixedSlice/1000/1000/manual_time          807 ns          833 ns        17330 selected_ratio=1
BlockOrderBook/BulkCopy/FixedSlice/1000/10000/manual_time         922 ns          947 ns        16067 selected_ratio=0.1
BlockOrderBook/BulkCopy/FixedSlice/1000/100000/manual_time        846 ns          871 ns        15482 selected_ratio=0.01
Vector/RemoveMiddle/10/manual_time                               12.7 ns         32.2 ns      1106626 items_per_second=78.4635M/s
Vector/RemoveMiddle/50/manual_time                               16.3 ns         36.4 ns       867488 items_per_second=61.5099M/s
Vector/RemoveMiddle/100/manual_time                              19.3 ns         39.5 ns       723642 items_per_second=51.8976M/s
Vector/RemoveMiddle/500/manual_time                              32.0 ns         52.6 ns       441362 items_per_second=31.2961M/s
Vector/RemoveMiddle/1000/manual_time                             43.7 ns         64.3 ns       312018 items_per_second=22.8801M/s
